Week Commencing,Loans,Renewals,Total
2019-04-01,13963.0,7871.0,21834.0
2019-04-08,15070.0,5465.0,20535.0
2019-04-15,9653.0,4861.0,14514.0
2019-04-22,10701.0,7340.0,18041.0
2019-04-29,10813.0,7057.0,17870.0
2019-05-06,8979.0,5126.0,14105.0
2019-05-13,12371.0,6775.0,19146.0
2019-05-20,11599.0,6307.0,17906.0
2019-05-27,11834.0,4779.0,16613.0
2019-06-03,11473.0,6400.0,17873.0
2019-06-10,10598.0,5547.0,16145.0
2019-06-17,9955.0,5746.0,15701.0
2019-06-24,9655.0,6421.0,16076.0
2019-07-01,9850.0,6077.0,15927.0
2019-07-08,10034.0,5327.0,15361.0
2019-07-15,12081.0,6422.0,18503.0
2019-07-22,12573.0,5856.0,18429.0
2019-07-29,14395.0,6173.0,20568.0
2019-08-05,16546.0,7163.0,23709.0
2019-08-12,15024.0,6596.0,21620.0
2019-08-19,15027.0,6650.0,21677.0
2019-08-26,12418.0,7158.0,19576.0
2019-09-02,12591.0,6624.0,19215.0
2019-09-09,10533.0,5678.0,16211.0
2019-09-16,11017.0,6810.0,17827.0
2019-09-23,11790.0,6577.0,18367.0
2019-09-30,12549.0,6127.0,18676.0
2019-10-07,15108.0,6644.0,21752.0
2019-10-14,13358.0,7096.0,20454.0
2019-10-21,13746.0,6038.0,19784.0
2019-10-28,12139.0,6728.0,18867.0
2019-11-04,12812.0,7080.0,19892.0
2019-11-11,11898.0,6814.0,18712.0
2019-11-18,12401.0,6870.0,19271.0
2019-11-25,14930.0,7101.0,22031.0
2019-12-02,12013.0,7066.0,19079.0
2019-12-09,12234.0,6741.0,18975.0
2019-12-16,12708.0,7174.0,19882.0
2019-12-23,7652.0,5664.0,13316.0
2019-12-30,11936.0,6906.0,18842.0
2020-01-06,12899.0,6463.0,19362.0
2020-01-13,10740.0,5184.0,15924.0
2020-01-20,11827.0,6754.0,18581.0
2020-01-27,11888.0,6659.0,18547.0
2020-02-03,14141.0,6310.0,20451.0
2020-02-10,13824.0,7128.0,20952.0
2020-02-17,14743.0,6170.0,20913.0
2020-02-24,12328.0,6675.0,19003.0
2020-03-02,11408.0,7622.0,19030.0
2020-03-09,10721.0,7237.0,17958.0
2020-03-16,11865.0,4737.0,16602.0
2020-03-23,46.0,1226.0,1272.0
2020-03-30,5.0,1072.0,1077.0
2020-04-06,4.0,978.0,982.0
2020-04-20,27.0,1993.0,2020.0
2020-04-27,15.0,939.0,954.0
2020-05-04,0.0,368.0,368.0
2020-05-11,1.0,163.0,164.0
2020-05-18,3.0,135.0,138.0
2020-05-25,15.0,237.0,252.0
2020-06-01,9.0,340.0,349.0
2020-06-08,49.0,279.0,328.0
2020-06-22,1762.0,347.0,2109.0
2020-06-29,2043.0,329.0,2372.0
2020-07-06,2304.0,600.0,2904.0
2020-07-13,2349.0,961.0,3310.0
2020-07-20,3643.0,1573.0,5216.0
2020-07-27,5684.0,245.0,5929.0
2020-08-03,5571.0,352.0,5923.0
2020-08-10,3860.0,219.0,4079.0
2020-08-17,4082.0,306.0,4388.0
2020-08-24,4353.0,428.0,4781.0
2020-08-31,2711.0,353.0,3064.0
2020-09-07,3158.0,143.0,3301.0
2020-09-14,2631.0,237.0,2868.0
2020-09-21,2612.0,206.0,2818.0
2020-09-28,3971.0,365.0,4336.0
2020-10-05,5707.0,442.0,6149.0
2020-10-12,5642.0,578.0,6220.0
2020-10-19,5879.0,1811.0,7690.0
2020-10-26,5441.0,1889.0,7330.0
2020-11-02,5090.0,623.0,5713.0
