Week commencing,Page Views
2019-04-01,21298
2019-04-08,17852
2019-04-15,12836
2019-04-22,18280
2019-04-29,17164
2019-05-06,15425
2019-05-13,17145
2019-05-20,15682
2019-05-27,16626
2019-06-03,19356
2019-06-10,17672
2019-06-17,16882
2019-06-24,16811
2019-07-01,16174
2019-07-08,16986
2019-07-15,19302
2019-07-22,19288
2019-07-29,21434
2019-08-05,23378
2019-08-12,21479
2019-08-19,21154
2019-08-26,21807
2019-09-02,22968
2019-09-09,21496
2019-09-16,23084
2019-09-23,22396
2019-09-30,20947
2019-10-07,20902
2019-10-14,22712
2019-10-21,21959
2019-10-28,21235
2019-11-04,23311
2019-11-11,22140
2019-11-18,21260
2019-11-25,21297
2019-12-02,20683
2019-12-09,19855
2019-12-16,21791
2019-12-23,16655
2019-12-30,23719
2020-01-06,24437
2020-01-13,21968
2020-01-20,26442
2020-01-27,26585
2020-02-03,23358
2020-02-10,25569
2020-02-17,25401
2020-02-24,24588
2020-03-02,24971
2020-03-09,22862
2020-03-16,22483
2020-03-23,9041
2020-03-30,9001
2020-04-06,7664
2020-04-13,6622
2020-04-20,6570
2020-04-27,6208
2020-05-04,5261
2020-05-11,4958
2020-05-18,3874
2020-05-25,4186
2020-06-01,5052
2020-06-08,5212
2020-06-15,10777
2020-06-22,30432
2020-06-29,28007
2020-07-06,28303
2020-07-13,27946
2020-07-20,33766
2020-07-27,41089
2020-08-03,22291
2020-08-10,25706
2020-08-17,26141
2020-08-24,27259
2020-08-31,28312
2020-09-07,26769
2020-09-14,25700
2020-09-21,29110
2020-10-05,29680
2020-10-12,33320
2020-10-19,35870
2020-10-26,38944
2020-11-02,29005
2020-11-09,30218
2020-11-16,29306
2020-11-23,32483
2020-11-30,30259
2020-12-07,27140
