Week commencing,Facebook Comments,Facebook Engagements,Facebook Fans,Facebook New fans,Facebook Reactions,Twitter Retweets,Twitter Replies,Twitter Likes,Twitter Engagements,Twitter Followers,Twitter New followers
2019-04-01,1.0,,761.0,,3.0,24,1,28,,,
2019-04-08,2.0,,763.0,2.0,1.0,23,0,32,,,
2019-04-15,1.0,,766.0,3.0,29.0,31,2,53,,,
2019-04-22,0.0,,773.0,7.0,29.0,22,2,24,,,
2019-04-29,11.0,,780.0,7.0,84.0,24,4,27,,,
2019-05-06,3.0,,783.0,3.0,50.0,18,0,31,,,
2019-05-13,1.0,,783.0,0.0,16.0,18,6,23,,,
2019-05-20,1.0,,786.0,3.0,93.0,13,3,17,,,
2019-05-27,0.0,,789.0,3.0,164.0,23,3,30,,,
2019-06-03,4.0,,791.0,2.0,71.0,7,3,38,,,
2019-06-10,9.0,,800.0,9.0,218.0,35,20,112,,,
2019-06-17,2.0,,802.0,2.0,63.0,28,2,31,,,
2019-06-24,5.0,,807.0,5.0,69.0,22,6,37,,,
2019-07-01,4.0,,816.0,9.0,77.0,70,9,85,,,
2019-07-08,8.0,,823.0,7.0,60.0,36,1,36,,,
2019-07-15,12.0,,838.0,15.0,64.0,58,6,86,,,
2019-07-22,1.0,,848.0,10.0,64.0,35,0,41,,,
2019-07-29,5.0,,864.0,16.0,120.0,68,1,95,,,
2019-08-05,3.0,,881.0,17.0,277.0,81,4,128,,,
2019-08-12,8.0,,890.0,9.0,238.0,69,2,99,,,
2019-08-19,9.0,,901.0,11.0,338.0,28,0,64,,,
2019-08-26,17.0,,912.0,11.0,167.0,26,2,50,,,
2019-09-02,3.0,,919.0,7.0,119.0,44,5,93,,,
2019-09-09,2.0,,926.0,7.0,30.0,26,7,51,,,
2019-09-16,2.0,,930.0,4.0,36.0,23,1,65,,,
2019-09-23,4.0,,933.0,3.0,36.0,25,3,57,,,
2019-09-30,3.0,,934.0,1.0,88.0,34,1,53,,,
2019-10-07,3.0,,941.0,7.0,150.0,26,3,67,,,
2019-10-14,6.0,,947.0,6.0,149.0,20,2,45,,,
2019-10-21,9.0,,955.0,8.0,168.0,24,1,52,,,
2019-10-28,1.0,,965.0,10.0,77.0,25,0,32,,,
2019-11-04,6.0,,974.0,9.0,153.0,22,0,45,,,
2019-11-11,1.0,,989.0,15.0,122.0,15,0,35,,,
2019-11-18,7.0,,994.0,5.0,106.0,29,16,115,,,
2019-11-25,9.0,,1010.0,16.0,218.0,57,6,124,,,
2019-12-02,3.0,,1015.0,5.0,76.0,42,3,64,,,
2019-12-09,4.0,,1018.0,3.0,54.0,32,6,79,,,
2019-12-16,1.0,,1022.0,4.0,42.0,22,2,66,,,
2019-12-23,0.0,,1023.0,1.0,32.0,14,0,38,,,
2019-12-30,0.0,,1029.0,6.0,37.0,22,4,36,,,
2020-01-06,1.0,,1035.0,6.0,39.0,48,0,74,,,
2020-01-13,1.0,,1044.0,9.0,67.0,34,0,58,,,
2020-01-20,4.0,,1065.0,21.0,208.0,29,2,87,,,
2020-01-27,5.0,,1078.0,13.0,284.0,18,1,84,,,
2020-02-03,1.0,,1080.0,2.0,94.0,34,1,70,,,
2020-02-10,2.0,,1083.0,3.0,75.0,31,3,77,,,
2020-02-17,3.0,,1088.0,5.0,102.0,45,2,121,,,
2020-02-24,2.0,,1089.0,1.0,82.0,48,3,125,,,
2020-03-02,153.0,,1092.0,3.0,384.0,38,8,87,,,
2020-03-09,8.0,,1102.0,10.0,104.0,40,10,103,,,
2020-03-16,15.0,,1119.0,17.0,130.0,87,6,97,,,
2020-03-23,0.0,,1129.0,10.0,124.0,66,6,97,,,
2020-03-30,56.0,516.0,1167.0,38.0,113.0,56,7,135,202.0,2535.0,
2020-04-06,51.0,326.0,1185.0,18.0,90.0,100,10,134,244.0,2542.0,7.0
2020-04-13,44.0,622.0,1206.0,21.0,115.0,140,4,180,324.0,2551.0,9.0
2020-04-20,98.0,771.0,1234.0,28.0,154.0,147,5,207,359.0,2568.0,17.0
2020-04-27,42.0,688.0,1249.0,15.0,213.0,148,5,227,380.0,2570.0,2.0
2020-05-04,29.0,736.0,1271.0,22.0,133.0,115,2,201,318.0,2579.0,9.0
2020-05-11,25.0,765.0,1288.0,17.0,124.0,70,1,155,226.0,2587.0,8.0
2020-05-18,48.0,790.0,1306.0,18.0,144.0,212,7,247,466.0,2593.0,6.0
2020-05-25,14.0,597.0,1314.0,8.0,95.0,148,3,193,344.0,2597.0,4.0
2020-06-01,15.0,486.0,1324.0,10.0,93.0,115,1,174,290.0,2607.0,10.0
2020-06-08,20.0,564.0,1333.0,9.0,87.0,153,3,177,333.0,2608.0,1.0
2020-06-15,85.0,1109.0,1348.0,15.0,144.0,146,6,159,311.0,2617.0,9.0
2020-06-22,26.0,658.0,1356.0,8.0,125.0,158,6,168,332.0,2621.0,4.0
2020-06-29,14.0,433.0,1361.0,5.0,93.0,186,3,202,391.0,2638.0,17.0
2020-07-06,14.0,457.0,1378.0,17.0,88.0,176,7,219,402.0,2645.0,7.0
2020-07-13,14.0,357.0,1383.0,5.0,83.0,130,3,153,286.0,2653.0,8.0
2020-07-20,21.0,328.0,1391.0,8.0,54.0,95,3,104,202.0,2650.0,-3.0
2020-07-27,46.0,599.0,1395.0,4.0,103.0,110,5,167,282.0,2662.0,12.0
2020-08-03,70.0,598.0,1416.0,21.0,68.0,71,7,136,214.0,2662.0,0.0
2020-08-10,29.0,378.0,1429.0,13.0,80.0,52,5,102,159.0,2670.0,8.0
2020-08-17,19.0,191.0,1436.0,7.0,57.0,46,19,115,180.0,2672.0,2.0
2020-08-24,39.0,298.0,1446.0,10.0,96.0,93,4,129,226.0,2676.0,4.0
2020-08-31,10.0,119.0,1453.0,7.0,51.0,30,2,66,98.0,2678.0,2.0
2020-09-07,76.0,254.0,1465.0,12.0,31.0,32,8,58,98.0,2690.0,12.0
2020-09-14,6.0,82.0,1464.0,-1.0,64.0,25,0,27,52.0,2683.0,-7.0
2020-09-21,6.0,104.0,1464.0,0.0,46.0,48,0,58,106.0,2683.0,0.0
2020-09-28,14.0,116.0,1467.0,3.0,54.0,62,2,111,175.0,2687.0,4.0
2020-10-05,9.0,128.0,1474.0,7.0,73.0,62,8,94,164.0,2684.0,-3.0
2020-10-12,5.0,180.0,1476.0,2.0,64.0,122,1,148,271.0,2691.0,7.0
2020-10-19,21.0,352.0,1481.0,5.0,60.0,105,2,134,241.0,2709.0,18.0
2020-10-26,16.0,283.0,1487.0,6.0,102.0,117,5,253,375.0,2706.0,-3.0
2020-11-02,20.0,178.0,1490.0,3.0,44.0,83,3,115,201.0,2713.0,7.0
2020-11-09,21.0,244.0,1495.0,5.0,96.0,128,1,169,298.0,2717.0,4.0
2020-11-16,8.0,92.0,1496.0,1.0,40.0,58,3,84,145.0,2725.0,8.0
2020-11-23,28.0,377.0,1504.0,8.0,111.0,121,7,270,398.0,2739.0,14.0
2020-11-30,5.0,111.0,1508.0,4.0,50.0,57,8,134,199.0,2741.0,2.0
2020-12-07,21.0,294.0,1514.0,6.0,86.0,108,4,214,326.0,2749.0,8.0
2020-12-14,62.0,2262.0,1513.0,-1.0,1112.0,171,14,313,498.0,2757.0,8.0
2020-12-21,26.0,331.0,1530.0,17.0,101.0,72,9,143,224.0,2765.0,8.0
2020-12-28,8.0,162.0,1533.0,3.0,54.0,104,3,170,277.0,2768.0,3.0
2021-01-04,37.0,356.0,1537.0,4.0,76.0,159,11,207,377.0,2774.0,6.0
2021-01-11,22.0,346.0,1541.0,4.0,69.0,109,1,156,266.0,2785.0,11.0
2021-01-18,14.0,210.0,-1.0,-1542.0,71.0,102,7,170,279.0,2796.0,11.0
2021-01-25,46.0,384.0,1556.0,1557.0,103.0,136,4,212,352.0,2806.0,10.0
